Is_contract,Creator name,Creator address,Contracts,Bytecodes,Selfdestructed contracts,Ephemeral contracts,Addresses,Addresses with reinits,Contracts at addresses with reinits
true,,86cd6d60cf8ec811ff6dcb5d3144d503f4133b13,18102,2,17240,17240,18102,0,0
true,,5f3e759d09e1059e4c46d6984f07cbb36a73bdf1,17900,1,16255,0,17900,0,0
true,,d4458e23ee22ad3510c71d6d7f1719a8e7932a83,17556,1,17556,17556,17556,0,0
true,,d2e949f689bd0083a4c72760f9b190cbe70f64f9,16821,1,16821,16821,16821,0,0
true,,44d89bc4d3b6af4fb944e1e775ce6eae4bd1b57f,16441,1,16441,16441,16441,0,0
true,,d46ff8c67cfb91e3b9b14ca433d220188350d43d,16410,1,10274,0,16410,0,0
true,,2796697701895f5e0d5263387150cff7e5fcfd65,16380,1,16380,16380,16380,0,0
false,,3898d7580aa5b8ad8a56fcd7f7af690e97112419,15994,15994,15000,0,15994,0,0
true,,69b5d67dcdfd8e565e7ce4abff9b41dec48a732b,15972,1,15972,15972,15972,0,0
true,,441349edf86f1010845f0314023c2046df9378a4,15456,1,15456,15456,15456,0,0
true,,d1f0a35f60eba9229144752cf357ed07d6ee0ef2,15351,1,15351,15351,15351,0,0
true,,0000000000d41c96294ccdac8612bdfe29c641af,14950,1,14146,0,14950,0,0
true,,00bf034cec51975faece51b285724301436b21c4,14860,1,13626,0,14860,0,0
false,,de00d22156c3d99d297139c736efa870b8acea3c,14851,2,14848,14848,14851,0,0
true,,da9ca815bbc1549896248bd1f094337edd46ebff,14124,1,14124,14124,14124,0,0
true,,00000000cd47aa64daf64f5144b0d7885754374c,14040,1,13678,0,14040,0,0
true,,e6f58078e071b49006f41e48c8ba4e9242788661,13725,1,13209,0,512,512,13725
true,,09a5d5ad2a3287777496aa4f1cbf3290db26760e,13314,1,13314,13314,13314,0,0
true,,bcdccfd8837b5595263adc56aac2f268fd8dbece,13272,1,13272,13272,13272,0,0
true,ApeBank,00000000454a11ca3a574738c0aab442b62d5d45,13120,1,5429,0,13120,0,0
true,,200b3e309080981c985fa7103628daf81fcfa600,12264,1,12264,12264,12264,0,0
true,,0b7666f532f6665485f46b3fa22d3b39e519bd6a,12190,1,10369,0,12190,0,0
true,,0c13e830bf4cc53b6dfc1a07102a39ad1cbecd0d,11697,1,11697,11697,11697,0,0
true,,00000000000064c443ef440577c26525a3c34a30,11630,1,10938,0,11630,0,0
true,,6506f0a65177f8fe0c02c1d5315958247d1083ad,11375,1,11375,11375,11375,0,0
true,,43bef9ae4d5ca9a8e690cf9739b0d05e24dc4980,11340,2,10800,10800,11340,0,0
true,,aaaa529e72974a45ed544333156875a156508c3b,11214,1,11214,11214,11214,0,0
true,,46ffb42474d79c7f746d623789b2473dbb9fc5ed,11120,1,11120,11120,11120,0,0
true,,780e8529127fd2f2ac1cdf5ce80038d2f2ba8847,10857,1,10857,10857,10857,0,0
true,,179941b223bda3c9d39371ca4137b65dbcd0d503,10360,1,10360,10360,10360,0,0
true,,00000000000f75712e0cfa682f7bfc795112cbd2,10225,1,9196,0,10225,0,0
true,,db34e257645027d869b7834055664ddb9d13ff54,10200,1,10200,10200,10200,0,0
true,,0000000000002d534ff79e9c69e7fcc742f0be83,10080,1,5702,0,10080,0,0
true,,9997c4242b9ff488e050ec03aa093549fc404988,10040,1,10040,10040,10040,0,0
true,,107b8c8a12f24f6bfec6ab480b4c843291e1575e,10017,1,9743,0,10017,0,0
true,,b981b2a44eba61b8900111501c507bd5a94595ee,9744,1,9744,9744,9744,0,0
true,,ee276e418f6c9d555b254125034cffa7653c755c,9526,1,9526,9526,9526,0,0
true,,92ade8dc62804da0de987e2af48737cdb11b9f09,9408,1,9408,9408,9408,0,0
true,,c811addd0f04fc5eb2f327df3c56da385f1011e6,9266,1,9266,9266,9266,0,0
true,,5889db2b1826b86c9630344f23b9e7602da15a1f,9198,1,9198,9198,9198,0,0
true,,0000001ea7022cd5d3666beb277c9dc323adc3d9,9184,1,6754,0,9184,0,0
true,,d157d8fbb08bf6656ceb85ab05d579235dfae77d,8920,1,8920,8920,8920,0,0
true,,000000001e29fcd9b1469a7954dc65ff254fffc0,8896,1,8724,0,8896,0,0
true,,00000000f515b28e81a0e98ea3f4f816ef7e62b2,8700,1,8255,0,8700,0,0
true,,ab53cec21d04b9292f88f1c3670c1a389f1b165e,8628,1,8628,8628,8628,0,0
true,,000000005804b22091aa9830e50459a15e7c9241,8476,1,2907,0,8476,0,0
true,,fe1986c034b5875ca8c61dc4a62cb0ab77da762e,8400,1,8400,8400,8400,0,0
true,,bbd7e5db205e079fb71c2199ddda6d410e7e6966,8253,1,8253,8253,8253,0,0
true,,3f2a2b2729f624bd23f252f46bae42628d822a6e,8190,1,7603,0,8190,0,0
true,,082711d52aa499e82879ee16ec826c95b41731fb,7749,1,7749,7749,7749,0,0
false,,de01be79031c927e3fe5aef7ca697cbd6c04b4c6,7665,1,7665,7665,7665,0,0
true,,7322311314a3f12f77eb29bec64f36479a7cee5f,7602,1,7602,7602,7602,0,0
true,ReduxToken,000000000000cb2d80a37898be43579c7b616844,7571,1,2831,0,7571,0,0
true,,fd5fed5604c4db4360e8ff1532ed284079a57c28,7518,1,7518,7518,7518,0,0
true,,e06621231c204fc3ffd0375db9e11a24ce77129e,7480,1,7480,7480,7480,0,0
true,,653bc9842cb54fa5454645be2eed7265f9fb9523,7473,1,5631,0,7473,0,0
true,,000000000000cb53d776774284822b1298ade47f,7424,1,7025,0,4865,1535,4094
true,,bb7df91a6e47087d23b18ea1d2a53598a391f527,7300,1,7300,7300,7300,0,0
true,,2c98f84e77ede1489dad37cc52921d638f9d34bb,7160,1,7160,7160,7160,0,0
true,,82286e3e6940d48097da67630ceeb2aaf66a9c76,7140,1,7140,7140,7140,0,0
true,,5281ffffb22e3eef2272589448ebb7c852ae0f56,7098,1,7098,7098,7098,0,0
true,PineCore,d412054cca18a61278ced6f674a526a6940ebd84,6959,1,6959,6959,6596,259,622
true,,cb6061930b15f108ee225931d27a1b19724bd1fe,6943,1,5209,0,6943,0,0
true,,afcc041254f704ee9e07e9495e7de70baa62e70d,6850,1,6850,6850,6850,0,0
true,,64be2d57fcde878c2180dd618932c3318e1d291f,6760,1,6760,6760,6760,0,0
true,,066336e3e0833dd4338a94b9c2cb8dbbe52a7271,6731,1,6731,6731,6731,0,0
true,,970694511cb090e009640da3a3406e903f914f41,6699,1,6699,6699,6699,0,0
true,,b52a8852552ba344cd0df710e7209bb72b857f62,6667,1,6667,6667,6667,0,0
false,,9ebf6734ebf95effb99dbe6dc5faf086ec394d94,6624,68,11,0,6624,0,0
false,,40525ac2fe3befe27a4e73757178d4accfef71da,6533,1,4512,4512,6533,0,0
true,,9accb37e7fb6ac98d8accbbcdc236f592f0ba228,6400,1,6400,6400,6400,0,0
true,,d5c679dffa23d85138eb6fec063c335560d10360,6400,1,6400,6400,6400,0,0
true,,1b2a843a5b9e6c168336166c21b522e7042ffc73,6396,1,6396,6396,6396,0,0
true,,32a02e0584be59a8d8ea0f2c521972e227a55506,6258,1,6258,6258,6258,0,0
true,,00000000032962b51589768828ad878876299e14,6240,1,4703,0,2825,1840,5255
true,,6ba7929b6738d38d4217f41f14604a92251c906d,6216,1,6216,6216,6216,0,0
true,,408f8b9f14b27aa663170a30d5a80be7da804e52,6200,1,6200,6200,6200,0,0
true,,0000000000d1d773661e4b2102bbe07d4dcde777,6160,1,6104,0,6160,0,0
true,,00000000e8b06d9bf77ba40fc89e4eaa4f225e5c,6150,1,6107,0,6150,0,0
true,,577a32aa9c40cf4266e49fc1e44c749c356309bd,6149,1,5635,0,6149,0,0
true,,29c551699c5367870c81c71bb6438a9e888fdef4,6120,1,6120,6120,6120,0,0
true,,4d18f67f19e4bf1adae18960dc97a041740650cd,6080,1,6080,6080,6080,0,0
true,,6be16dda34ce95cfa9b5f042263e8a658fe2fc20,6048,2,5760,5760,6048,0,0
true,,29166daaec59361478bc25a6fed8e36996d764ee,6006,1,6006,6006,6006,0,0
true,,5e896b0cb6da755532401793dbc03ec72b5d7fe6,5920,1,5920,5920,5920,0,0
true,,49e38025ce640e8b0d70e94293ace4e085647f04,5824,1,5610,0,5824,0,0
true,,15f5004dc7c1e3fdaf866db045cc14f8a1031591,5720,1,5720,5720,5720,0,0
true,,dd024ff45c68c1a36ed29478897e6fb625167f6d,5680,1,5680,5680,5680,0,0
true,,34bd7b55d9bdc120c090fa46ab13b6b32dbf2a29,5671,1,5671,0,5671,0,0
true,,cc3d55e1d5634bd044e8891c745bbd393ce0f605,5671,1,5364,0,5671,0,0
true,,d7bac7804b40231612c9d093767202cb1197afd9,5670,1,5670,5670,5670,0,0
true,,b77e8324d93c27eebc4460e47ee7d36a581d42c6,5481,1,5481,5481,5481,0,0
true,,b72c0df881bedf193bcfd077a6df0525ac007503,5456,1,5456,5456,5456,0,0
true,,54ef024ef8b1cb6ae46bd5b8a66d876a28b43a37,5294,1,5294,5294,5294,0,0
true,,3b78043ac7a492c39465927db19c4dbe2542c2ab,5280,1,5280,5280,5280,0,0
true,,2308e8ae82d831ce15b33a1ffb2da31bb317e155,5250,1,5250,5250,5250,0,0
true,,3267ed8218f94595826d8f9e3b4d7ceeb0ac395b,5229,1,5229,5229,5229,0,0
true,,000000799cd54a82b54e8597f099b0183b301584,5226,1,5212,0,5226,0,0
true,,aa68c6992ad8392a2064ced7f24810fcaefbd38f,5160,1,5160,5160,5160,0,0
false,,88a80b35014fe7c33b4568cb818f2e16ba799b23,5037,40,1,0,5037,0,0
true,,a116ece896818c56ca8de0f68c0dac1e58cdc9ce,5000,1,5000,5000,5000,0,0
true,,48d162ea4a3326a0749558d24f515facaf14e57a,4969,1,4942,0,4969,0,0
true,,00000000c9fdd743c60055c0e4ea30d266272c1f,4960,1,4350,0,4960,0,0
true,,b08123a5ec25905365a7590f4ba611ae7e3c5eb7,4880,1,4880,4880,4880,0,0
true,,562ef2210ae68f30a1180cb0b0e0d8a4680fea34,4823,1,4414,0,4823,0,0
true,,82f348a33e017e56cbb42d32c4fdbb790b53b7a2,4760,1,4760,4760,4760,0,0
true,,6a0a0fc761c612c340a0e98d33b37a75e5268472,4750,1,4750,4750,4750,0,0
true,,fd6bb6705cbb541318a53f0f110b66134995b125,4683,1,4683,4683,4683,0,0
true,,d1a9287acf94b64c43c6a4f8eb05b4c6a81ebf9e,4428,1,4428,4428,4428,0,0
true,,69940698335540984969453c82624373c18e6579,4400,1,4400,4400,4400,0,0
true,,6da8c2d1dd3ad27c8b85ef4bd10627120daf28ec,4400,1,4400,4400,4400,0,0
true,,0000007253c7b66206e928357d14c4574c83de71,4351,1,4319,0,4351,0,0
true,,00000000c8ce19b027097dfecd2e4fdfb75253bf,4288,1,2811,0,4288,0,0
true,,b5463bb597ca81ddc6450dd487414825105a8bdc,4284,1,4284,4284,4284,0,0
true,,47b377a1888f19a8bfc59da8caf6eda11ce22643,4240,1,4240,4240,4240,0,0
true,,0000000033431f236e97fa549b367827360effd7,4232,1,4060,0,4232,0,0
false,,5f40c0104527c79ac98281acc8b3901d62f941c2,4181,3,7,0,4181,0,0
true,,000000a61aa8c4e48a832cc39655ef8156097aa2,4090,1,2864,0,4090,0,0
true,,faf8e4c46156ca346d23beb668b9276396d3d28e,4080,1,4080,4080,4080,0,0
true,,da6d77abf5d21dcd6c832e48c583d8c5a7401f4a,4060,1,4060,4060,4060,0,0
true,,97ed0ae6637685b8f501b7cbbd9daec06d8a8ef9,4059,1,4059,4059,4059,0,0
true,,000085b8bdd57126a7000300af0076995f3700f1,3960,1,2781,0,3747,213,426
true,,5b1c60c02ea122b185eb2bb8f6a799ae27e5ec42,3936,1,3936,3936,3936,0,0
true,,00000000e8080db3ed60313725643d38bec42071,3910,1,3605,0,3910,0,0
true,,00000000000003441d59dde9a90bffb1cd3fabf1,3845,1,3251,0,3845,0,0
true,,000000bda8396361e87648109c90d368002c4f17,3840,1,3812,0,3840,0,0
true,,0000000000007673393729d5618dc555fd13f9aa,3802,1,1504,0,3762,40,80
true,,54338395af8f837ac7721881fa75f73801acc003,3800,1,3800,3800,3800,0,0
true,,fb5852057f361f415b7dc7f962a1bf9ecd970170,3720,1,3720,3720,3720,0,0
true,,f97d0bebdabe2f6ca5b5ea1c0b0f3fac4b81e009,3680,1,3680,3680,3680,0,0
true,,2222a1bb03a231008c231abe1618d1a954992222,3658,1,1857,0,3658,0,0
true,,2e27f85447a96fc71bc8a89c60c99320830fa517,3650,1,3650,3650,3650,0,0
true,,36a4df07e885a4faed68b780de96f318e7556da9,3641,1,3641,3641,3641,0,0
true,,f79e24fc6de0b335d731347cc89c4d0be61074d6,3633,1,3633,3633,3633,0,0
true,,65509683b230d8a617d48cbba1a49de8fc25fb8f,3608,1,3608,3608,3608,0,0
true,,00000064679010bf4602a636085ade15db041c89,3584,1,1929,0,3584,0,0
true,,88d7301cbe961c9170f21511e637b2f3cf28f5e5,3560,1,3560,3560,3560,0,0
true,,c2239a0e1b0eb98d331d2887bac8858de308bfd3,3486,1,3486,3486,3486,0,0
true,,4f903f5010cfda2a03ab8a5c4affd4c5c808b3c3,3480,1,3480,3480,3480,0,0
true,LiquidGasToken,000000000000c1cb11d5c062901f32d06248ce48,3477,4,1924,0,3477,0,0
true,,00000000e1fa75ba0fcb4a319d2928a3fe3638e4,3466,1,3429,0,3466,0,0
true,,00000000acd5ca17eee6d92d9ca121543126cce1,3450,1,3385,0,3450,0,0
true,,02023798e0890ddebfa4cc6d4b2b05434e940202,3400,1,3227,0,3400,0,0
true,,ca28485894316cfe325c8502f6817a45cb05db40,3330,1,3330,3330,3330,0,0
true,,58435a43b73fb66d4d326e54a60e58dd639cb8bc,3330,1,3330,3330,3330,0,0
true,,5c7e07968ae126087349fdf3cab4220cb97ab77b,3310,1,3310,3310,3310,0,0
true,,faa6a1c369ba5a53c00f91dfab06c0e928226a40,3300,1,3300,3300,3300,0,0
true,,726379e56732eefbff0aa405323f17ed4d8016cc,3280,1,3280,3280,3280,0,0
true,,d37f75c05d73d9da88a42bdbf1410bacb03e5cb4,3270,1,3270,3270,3269,1,2
true,,0000000000000eb4ec62758aae93400b3e5f7f18,3254,1,2914,0,800,512,2966
true,,5cf1c8b742bc22ae788dce4939ed67fce6c23b46,3130,1,3128,0,3130,0,0
false,,da8be6e2f555a753d4b0dff6b5518f262d097bc7,3120,36,2,0,3120,0,0
true,,e3de0b6a16bc50ec9b4255c283223647f21dc738,3060,1,3060,3060,3060,0,0
true,,0000000000a680073b2eee93abeb4af4d4a096f8,3040,1,497,0,3040,0,0
true,,ffbbe2b06795021e764615f834a39099197454f3,3040,1,3040,3040,3040,0,0
true,,4c7a050a23c72b2cab2e534b048e02d5bc74b291,3020,1,3020,3020,3020,0,0
true,,9f57ca3b9493012007aa6d53208ffba2740eb1c4,3007,1,3007,3007,3006,1,2
true,,1496a03c8ba58eff08afa874106c17b8e339703d,3000,1,3000,3000,3000,0,0
true,,00000000751edf02c727ea9d0c1c8e64f169e343,2951,2,2703,0,2951,0,0
