Is_contract,Creator name,Creator address,Contracts,Bytecodes,Selfdestructed contracts,Ephemeral contracts,Addresses,Addresses with reinits,Contracts at addresses with reinits
true,UniswapEX,eda1cc75408b91e76c8ff74b30251a95d0aa39cb,4,1,4,4,3,1,2
true,,167f2d3222e2c27ca5e3d49c17ea41b13fcdc104,2,2,1,0,1,1,2
true,,a6bc4d1729015aa3145fc6b567411d216643f3ad,2,1,2,2,1,1,2
true,,9f57ca3b9493012007aa6d53208ffba2740eb1c4,3007,1,3007,3007,3006,1,2
true,,0d18356d86893a1377f49b6aabcc53597990d801,2,2,1,0,1,1,2
true,,9e4b467ce967f3c64a572eda5a3647d4ed6c2767,2,1,2,2,1,1,2
true,,c4d95ca2f5834819c133decc946c8b0a3c9e3131,22,1,22,22,21,1,2
true,,c51023babbbb9da20a3263510e713a5dd4bccbf1,2,1,2,2,1,1,2
true,,0c0005c09cf5ed039e1152d3356acf726f01e9d0,7,1,7,7,6,1,2
true,,097a97d104d37b1daebf0cc4b835758eeda40f99,3,1,3,3,2,1,2
true,,98f7ea95b6e19a4c9229c8f0fb98419a2a739f8f,2,1,2,2,1,1,2
true,,90c82a6f3066d766b563d74e38b1b20df6db60fb,2,1,2,2,1,1,2
true,,d37f75c05d73d9da88a42bdbf1410bacb03e5cb4,3270,1,3270,3270,3269,1,2
true,LootBoxController,2c2a966b7f5448a36ec9f896088dfb99b21d8a24,30,2,29,29,29,1,2
true,,00000000c9329eab0ede00c18accad77db00aa73,8,4,2,0,7,1,2
true,,48c3af846025110d1b29670553439b2c1fa7191a,2,2,1,0,1,1,2
true,,7fa3e9d9efdadff29454388cacd4c8c52f5f96ec,3,1,3,3,2,1,2
true,,e19556c82e072bc566a31371c70fd72a8fae1dfd,4,1,4,4,3,1,2
true,,e34bf226165c2f2756d45c52f89f3ea3a1316b09,621,1,621,621,620,1,2
true,,3f025abc1475eb489ed8adbd315b7bd3c27375c2,16,1,16,16,15,1,2
true,,e69b828eaee1446c24a0a53e60828a32d3731900,6,1,6,6,5,1,2
true,,60733889e92bdb0e9f70386c027d176f9888b087,3,1,3,3,2,1,2
true,,000000000000ce024a2c86451474057d3ad8ea33,23020,1,6937,0,23019,1,2
true,,581b86c31495cf53ae878ebed493487d56110d3d,2,1,1,0,1,1,2
true,,19bf8bedc2bbdcfd2b8f287f4120e4e50ddbca4b,4,2,3,2,3,1,2
true,,46175d5ee15061e446e053a84d077ee07bdaaa84,2,1,2,2,1,1,2
true,HyperLimit,16a893f27fdb30cc05d8fd7a333a5ab841461658,30,1,30,30,29,1,2
true,,fc8ef9c68569a7167d50166d45d55ad9079fdaf1,3,1,3,3,2,1,2
